date,county,state,fips,cases,deaths,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS,college_cases,total_inmate_cases
2020-12-31,Saline,Illinois,17165.0,1764,40.0,0.117,0.106,0.111,0.204,0.462,69.0,5.0
2020-12-31,Sangamon,Illinois,17167.0,13219,197.0,0.017,0.03,0.155,0.233,0.564,273.0,19.0
2020-12-31,Schuyler,Illinois,17169.0,543,14.0,0.132,0.1,0.152,0.198,0.417,,1.0
2020-12-31,Scott,Illinois,17171.0,327,1.0,0.113,0.057,0.148,0.162,0.52,,
2020-12-31,Shelby,Illinois,17173.0,1793,34.0,0.07,0.047,0.168,0.245,0.469,,
2020-12-31,St. Clair,Illinois,17163.0,20854,353.0,0.032,0.027,0.037,0.138,0.767,264.0,248.0
2020-12-31,Stark,Illinois,17175.0,449,20.0,0.013,0.101,0.058,0.155,0.672,,
2020-12-31,Stephenson,Illinois,17177.0,3242,62.0,0.036,0.059,0.041,0.222,0.644,,
2020-12-31,Tazewell,Illinois,17179.0,10431,197.0,0.044,0.04,0.141,0.215,0.56,,866.0
2020-12-31,Union,Illinois,17181.0,1697,31.0,0.1,0.078,0.162,0.195,0.466,,
2020-12-31,Vermilion,Illinois,17183.0,6429,90.0,0.023,0.119,0.088,0.266,0.504,,968.0
2020-12-31,Wabash,Illinois,17185.0,1048,13.0,0.078,0.113,0.271,0.325,0.212,,
2020-12-31,Warren,Illinois,17187.0,1496,36.0,0.042,0.02,0.141,0.276,0.522,64.0,
2020-12-31,Washington,Illinois,17189.0,1225,24.0,0.118,0.046,0.053,0.327,0.456,,
2020-12-31,Wayne,Illinois,17191.0,1336,41.0,0.086,0.142,0.128,0.3,0.345,,
2020-12-31,White,Illinois,17193.0,1122,27.0,0.19,0.144,0.095,0.239,0.332,,
2020-12-31,Whiteside,Illinois,17195.0,4956,160.0,0.025,0.066,0.042,0.218,0.649,,
2020-12-31,Will,Illinois,17197.0,52293,780.0,0.041,0.024,0.062,0.134,0.739,360.0,695.0
2020-12-31,Williamson,Illinois,17199.0,5316,106.0,0.095,0.122,0.136,0.183,0.464,,806.0
2020-12-31,Winnebago,Illinois,17201.0,24019,373.0,0.031,0.03,0.089,0.193,0.657,85.0,58.0
2020-12-31,Woodford,Illinois,17203.0,2818,58.0,0.062,0.067,0.112,0.242,0.517,71.0,
